event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-3666ec37a5b6bc01808e,Government of Nepal BIPAD Portal,2014,8,15,Central Region,Parsa,Thori,FLOOD,0,0,0,0,1,0,0,0.0,False,27.22317,84.73056,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-c81371a3d01ffd0726d3,Government of Nepal BIPAD Portal,2014,8,16,Mid-Western Region,Salyan,Sharada,FLOOD,1,0,0,0,0,0,0,0.0,False,28.4,82.09154,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-425343e6646666a3614b,Government of Nepal BIPAD Portal,2014,8,17,Central Region,Mahottari,Aurahi,FLOOD,0,0,0,0,0,1,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-f86ffde7c590c1383aa9,Government of Nepal BIPAD Portal,2014,8,21,Central Region,Sindhuli,Kamalamai,FLOOD,2,2,0,0,0,0,0,0.0,False,27.18536,85.90753,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-c8160e9fa6936d0d3e1c,Government of Nepal BIPAD Portal,2014,8,28,Central Region,Mahottari,Aurahi,FLOOD,0,0,0,0,3,0,0,0.0,False,26.88482,85.81298,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-064a5677523ecedee969,Government of Nepal BIPAD Portal,2014,8,28,Central Region,Ramechhap,Gokulganga,FLOOD,1,0,0,0,0,0,0,0.0,False,27.53685,86.18811,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-2a36bf2b84c6227b01f0,Government of Nepal BIPAD Portal,2014,9,13,Mid-Western Region,Bardiya,Barbardiya,FLOOD,0,1,0,0,0,0,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-20fb52c9aa6df9c5793e,Government of Nepal BIPAD Portal,2014,9,19,Eastern Region,Dhankuta,Dhankuta,FLOOD,0,0,0,0,0,4,0,0.0,False,27.00791,87.36671,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-611e7505875155e412a7,Government of Nepal BIPAD Portal,2014,9,19,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,0,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-d196f0842d1a017de5a3,Government of Nepal BIPAD Portal,2014,9,19,Mid-Western Region,Rukum East,Sisne,FLOOD,1,0,0,0,0,0,0,0.0,False,28.73381,82.67046,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
